name,rank_name
미야와키 사쿠라,1
안유진,2
장원영,3
마츠이 쥬리나,4
이가은,5
장규리,6
최예나,7
이시안,8
시로마 미루,9
조유리,10
왕이런,11
코지마 마코,12
김민주,13
야부키 나코,14
김시현,15
고토 모에,16
미야자키 미호,17
배은영,18
허윤진,19
타카하시 쥬리,20
김채원,21
나카니시 치요리,22
무토 토무,23
고유진,24
권은비,25
아사이 나나미,26
치바 에리이,27
무라카와 비비안,28
이채연,29
혼다 히토미,30
김도아,31
무라세 사에,32
이유정,33
박서영,34
마츠오카 나츠미,35
나고은,36
모토무라 아오이,37
강혜원,38
타케우치 미유,39
윤해솔,40
시타오 미우,41
신수현,42
나카노 이쿠미,43
모기 시노부,44
야마다 노에,45
이와타테 사호,46
최연수,47
김소희,48
박민지,49
아라마키 미사키,50
이하은,51
박진희,52
이마다 미나,53
윤은빈,54
김나영,55
오다 에리나,56
사토 미나미,57
김수윤,58
박해윤,59
김다연,60
하세가와 레나,61
김민서,62
타나카 미쿠,63
한초원,64
조가현,65
이승현,66
김현아,67
김초연,68
아사이 유우카,69
강다민,70
카토 유우카,71
나가노 세리카,72
쿠리하라 사에,73
조영인,74
나이키 코코로,75
홍예지,76
박지은,77
츠키아시 아마네,78
이치카와 마나미,79
김다혜,80
원서연,81
안예원,82
조아영,83
시노자키 아야나,84
박찬주,85
유민영,86
최소은,86
알렉스 크리스틴,88
조사랑,89
김유빈,90
황소연,90
왕크어,92
우에무라 아즈사,93
우메야마 코코나,94
손은채,95
이채정,96
